Id,SalePrice
1461,106575.12048074199
1462,145940.29659593172
1463,163602.8410503708
1464,189982.94717489684
1465,197643.6995041346
1466,167310.70773190825
1467,184736.84210541868
1468,162391.95070969668
1469,188203.88368842867
1470,114503.25020626557
1471,161923.38979041865
1472,97192.7781873261
1473,91662.11895929925
1474,153191.17685239375
1475,125656.12421477282
1476,334604.3464040132
1477,240650.5594127884
1478,299030.20175103785
1479,275837.7369970696
1480,472443.0275192085
1481,320102.48587562994
1482,209779.60337764336
1483,166405.34482873176
1484,166645.43694960393
1485,194761.14411229204
1486,191982.14367901973
1487,336820.36592029274
1488,211854.0797411583
1489,185497.9329409159
1490,228385.37722475425
1491,188957.88215159738
1492,93880.00796912432
1493,196443.50948544554
1494,291365.64088460634
1495,291276.06171265664
1496,224625.87645625492
1497,176011.45507615258
1498,172563.83566985396
1499,174903.6529974036
1500,169134.47185473886
1501,167860.10445336503
1502,155571.43022983862
1503,264144.6755681453
1504,238754.5785847795
1505,223175.59245900204
1506,189170.3009313239
1507,237635.37331671512
1508,194269.35798614286
1509,156690.63286456862
1510,139543.45413894654
1511,145659.90261237274
1512,165826.42639873494
1513,147770.38449598447
1514,150986.3452905145
1515,181968.43848340388
1516,145535.92851156564
1517,164830.09343112484
1518,127301.91212233795
1519,190884.60865645442
1520,123295.89890639597
1521,116713.09157190369
1522,172527.39961237734
1523,109602.66432125293
1524,114703.03257333399
1525,113372.9087871641
1526,102825.99451495513
1527,109156.4978340029
1528,138305.86057936598
1529,137881.95218312214
1530,199267.4426424102
1531,120448.05423842628
1532,97838.80326213082
1533,139044.5722754817
1534,119969.52026675105
1535,134571.16368045082
1536,103894.77245611389
1537,58722.91596707276
1538,140200.8713185252
1539,178710.02440228383
1540,79600.25997362458
1541,120730.12085544653
1542,137470.85560263332
1543,166566.0631783847
1544,90022.10700381221
1545,110825.33258308365
1546,135183.92244848452
1547,124493.08267893332
1548,126658.2020618219
1549,113562.08811048258
1550,126620.21794023157
1551,104662.53715738871
1552,132943.0196926968
1553,132014.27897496073
1554,121808.01418234356
1555,153454.90885556766
1556,103320.82244850394
1557,95853.48541234972
1558,105903.05653031275
1559,69527.26978309298
1560,131592.5368171802
1561,109374.3525781102
1562,133827.45801933436
1563,115301.03465374614
1564,153780.68221723888
1565,137642.5766603452
1566,229841.6406300675
1567,79649.56411668511
1568,247492.995702017
1569,122335.96522606774
1570,142865.01226986697
1571,120231.63519721544
1572,134047.0882049103
1573,200716.67179263788
1574,112855.54866930081
1575,226924.44357900904
1576,247401.43354475716
1577,172252.12969370026
1578,151636.9463476218
1579,139681.9209253236
1580,188323.56467092922
1581,160956.70664553836
1582,132385.7992958613
1583,283090.64356340625
1584,219053.0399126763
1585,138834.04169521542
1586,74007.34240273412
1587,112463.35083838316
1588,145831.6712162711
1589,100590.7570457318
1590,130156.08827966526
1591,93416.21055182758
1592,102593.23565705889
1593,135317.50596365528
1594,123234.76154328354
1595,106349.72128966141
1596,209075.6574074125
1597,181299.78360069467
1598,204314.45343013242
1599,164387.04421040352
1600,154449.52569730429
1601,64629.15996876731
1602,110353.09840026037
1603,71860.24304826805
1604,235999.62979081087
1605,226313.0103988461
1606,161828.04748368054
1607,175154.85743370862
1608,215618.56560805024
1609,184537.63805793197
1610,156137.37200571786
1611,134460.22198475007
1612,161006.74536449017
1613,158753.69972360996
1614,126509.42909060004
1615,88687.26938384767
1616,74754.76020663278
1617,87996.63926733234
1618,126968.4173725753
1619,144186.04519495944
1620,145070.9255499609
1621,127753.68813856028
1622,148497.8019179428
1623,264126.75363089127
1624,197462.24215796674
1625,107597.10880506164
1626,166135.36878164337
1627,179239.17469377792
1628,272384.543262697
1629,183160.065926592
1630,323777.1910913423
1631,207559.5161642245
1632,222145.4457327844
1633,178027.65968705842
1634,181288.51609715828
1635,178146.6951309487
1636,161825.25300444107
1637,196985.009487439
1638,202046.00101973454
1639,185117.69838257483
1640,253931.4268944689
1641,178719.85060975424
1642,241103.70021167715
1643,230056.62607107917
1644,230737.90785477858
1645,244885.98936696144
1646,167737.3745962318
1647,153552.09183941723
1648,125411.91676242591
1649,139424.6572708699
1650,113727.90978146535
1651,119325.03733587838
1652,97495.59192246775
1653,101880.78303597866
1654,147129.04180937525
1655,144508.7212173023
1656,143388.455625971
1657,147725.407757609
1658,143786.32551551337
1659,124503.48394284453
1660,152044.55239919433
1661,431836.3276791976
1662,369809.4673816063
1663,347026.17040937516
1664,392063.65101542894
1665,289535.32426260546
1666,322337.07501076395
1667,373544.97448704496
1668,318921.86439933104
1669,297532.16797433776
1670,318219.1128089309
1671,258365.16840520964
1672,398520.9822296588
1673,291652.8982967384
1674,239946.8722586527
1675,192948.08747328995
1676,200511.57471360534
1677,210592.27344330098
1678,457803.0818516551
1679,360154.79639751796
1680,290828.50114866236
1681,238280.16724020988
1682,310387.9714952695
1683,194261.07858695905
1684,188872.05588718844
